experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,mw-pe,14,3.395,486.56714285714287,351.95817142857146,5.214285714285714,0.8028126870137642
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,pf-classic,14,115.6,552.3964285714286,4859.8745285714285,4.928571428571429,0.8024581005586592
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,pf-classic-sw,14,2.9114285714285715,571.4178571428572,387.5039785714286,4.428571428571429,0.8055423406279734
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,round-robin,14,109.54428571428572,520.8342857142857,4499.7658357142855,4.928571428571429,0.8032402234636872
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,round-robin-sw,14,3.2564285714285712,569.3278571428572,389.33425714285715,4.428571428571429,0.8077197149643706
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,aoi-normalized,30,57.644666666666666,571.2246666666666,1811.9934633333332,3.033333333333333,0.8051948051948052
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,max-weight-drift,30,58.585,568.7116666666667,1654.6091266666667,3.1333333333333333,0.8012290045063498
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,max-weight-sw,30,4.174,971.206,511.9360766666667,1.6666666666666667,0.8042425036008904
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,mw-pe,30,5.894333333333333,834.8633333333333,481.08608,2.466666666666667,0.8010027347310847
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,pf-classic,30,428.57266666666663,855.824,25338.581403333334,2.566666666666667,0.8039014373716632
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,pf-classic-sw,30,5.144333333333333,925.1073333333334,503.11498666666665,2.2666666666666666,0.804836835991129
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,round-robin,30,291.854,879.4206666666666,12985.432996666666,2.5,0.8035934291581108
capacity_15min_sw_nsw_assimetrico,2,8,2r_static,static,2,round-robin-sw,30,5.883666666666667,926.762,509.43999,2.2666666666666666,0.8032527194001479
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,aoi-normalized,62,63.83209677419355,960.091935483871,1734.1287193548387,1.3225806451612903,0.8029112754158965
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,max-weight-drift,62,62.44774193548387,973.2888709677419,1664.0199887096774,1.2903225806451613,0.8043531425776473
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,max-weight-sw,62,5.150645161290322,1052.1033870967742,538.2897322580645,0.04838709677419355,0.8071359691417551
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,mw-pe,62,8.881774193548386,1031.5854838709677,556.3205677419355,0.5645161290322581,0.798284625158831
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,pf-classic,62,759.7472580645161,990.8027419354839,47001.173788709675,1.2903225806451613,0.8034533793783917
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,pf-classic-sw,62,9.687903225806451,1040.4367741935484,562.2041483870968,1.1290322580645162,0.8039784086365453
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,round-robin,62,636.0046774193548,1045.3201612903226,37006.9801516129,1.3064516129032258,0.803749383325111
capacity_15min_sw_nsw_assimetrico,2,16,2r_static,static,2,round-robin-sw,62,11.27774193548387,1039.786129032258,586.7487435483871,1.0806451612903225,0.801000500250125
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,aoi-normalized,126,45.62611111111111,1035.1327777777778,1254.9536015873016,0.14285714285714285,0.8007033997655334
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,max-weight-drift,126,12.190396825396826,1048.5518253968255,785.3912944444444,0.07936507936507936,0.7995423340961099
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,max-weight-sw,126,9.631904761904762,1052.0992063492063,565.0328222222222,0,0.7781155015197568
capacity_15min_sw_nsw_assimetrico,2,32,2r_static,static,2,mw-pe,126,9.815238095238096,1052.0988095238095,570.8459190476191,0.015873015873015872,0.7960526315789473
