experiment,K,C,scenario,routing_mode,num_routes,policy,n_drones,mean_h1,mean_h2,mean_risk,peak_h1,peak_h2,peak_risk,frames_per_drone,channel_util
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,pf-classic,254,1000.6970078740158,1038.431220472441,88928.81408818897,2099,2108,113237.1795,0.19291338582677164,0.8048636987644636
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,pf-classic-sw,102,63.435196078431375,5230.108529411765,2859.6714843137256,184,10500,3388.4409,0.45098039215686275,0.8041854618058123
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,round-robin,254,1002.0174803149606,1052.0586614173228,88073.75065118111,2108,2108,113106.0454,0.08661417322834646,0.8049715071723325
capacity_15min_sw_nsw_assimetrico,1,64,2r_static,static,2,round-robin-sw,102,75.51225490196079,5228.763921568628,3106.969487254902,730,10500,5947.9265,0.45098039215686275,0.8046996231434271
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,aoi-normalized,6,31.203333333333333,275.495,788.6502833333334,252,511,2015.2283,9.666666666666666,0.8035785819201495
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,aoi-sw,2,2.35,285.73,252.88565,10,509,253.0488,53.5,0.802259047335959
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,max-weight-drift,6,27.32,275.21166666666664,758.39305,251,509,1952.497,9.5,0.8010584882616366
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,max-weight-sw,2,2.825,255.135,225.8105,10,492,225.9136,60,0.8048570101519474
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,mw-pe,6,2.125,285.63,243.20406666666668,9,489,260.4763,9.833333333333334,0.8040460134867117
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,pf-classic,6,26.44333333333333,306.295,697.39825,137,511,1633.3123,9.5,0.8048581897136654
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,pf-classic-sw,2,1.9249999999999998,365.88,323.0272,11,548,323.1745,42,0.8078723607528423
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,round-robin,6,26.446666666666665,306.235,699.552,137,511,1632.1404,9.5,0.8051295969602389
capacity_15min_sw_nsw_assimetrico,2,2,2r_static,static,2,round-robin-sw,2,1.9849999999999999,366.7,323.6088,12,547,323.7912,42,0.8039813315553862
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,aoi-normalized,14,50.58857142857143,399.91785714285714,1873.9626928571429,261,896,6346.8577,5.642857142857143,0.8001975308641975
capacity_15min_sw_nsw_assimetrico,2,4,2r_static,static,2,aoi-sw,6,3.4166666666666665,433.01,390.86016666666666,13,908,448.5932,35.833333333333336,0.8041658917612051
